28,35,5,31,140
1,# _ # _,12 13 13 13 14 13 15 13 13 25,A
2,# _ # _,13 13 12 13 15 13 14 13 14 25,A
3,_ _ # _,14 13 12 12 16 13 13 13 15 25,A
4,# _ # _,15 13 12 11 17 13 12 13 16 25,A
5,# _ # _,15 12 12 10 18 13 11 13 17 25,A
6,# _ _ _,15 11 11 10 18 14 10 13 18 25,A
7,# _ # _,15 10 10 10 18 15 9 13 19 25,A
8,# _ # _,16 10 9 10 18 16 9 14 20 25,A
9,_ # _ _,17 10 9 9 18 17 9 15 21 25,D
10,_ # _ #,18 10 9 8 18 18 9 16 21 26,D
11,_ # _ #,18 9 9 7 18 19 9 17 21 27,D
12,_ _ # #,18 8 8 7 18 20 9 18 21 28,A
13,# _ # _,18 7 7 7 18 21 9 19 22 28,A
14,# _ # _,19 7 6 7 18 22 9 20 23 28,A
15,_ _ # _,20 7 6 6 19 22 9 21 24 28,A
16,# _ # _,21 7 6 5 20 22 9 22 25 28,A
17,# # _ _,21 6 6 4 21 22 8 22 26 28,D
18,_ # _ #,21 5 6 3 21 23 7 22 26 29,D
19,_ # _ #,21 4 5 3 21 24 6 22 26 30,D
20,_ # # _,21 3 4 3 21 25 6 23 26 31,E
21,# _ # _,22 3 3 3 21 26 6 24 25 31,A
22,_ # # _,23 3 2 3 21 27 6 25 26 31,E
23,# _ # _,24 3 1 3 21 28 7 25 25 31,A
24,_ # # _,25 3 1 4 22 28 8 25 26 31,E
25,# _ # _,26 3 1 5 23 28 9 25 25 31,A
26,_ # # _,26 4 1 6 24 28 10 25 26 31,E
27,# _ # _,26 5 1 7 25 28 11 25 25 31,A
28,_ # # _,26 6 1 8 26 28 12 25 26 31,E
29,# _ # _,26 7 1 9 26 29 13 25 25 31,A
30,_ # # _,26 8 1 10 26 30 14 25 26 31,E
31,# _ # _,26 9 2 10 26 31 15 25 25 31,A
*****
28,35,5,83,4
1,# _ # _,12 13 13 13 14 13 15 13 13 25,A
2,# _ # _,13 13 12 13 15 13 14 13 14 25,E
3,# _ # _,14 13 12 12 16 13 13 13 13 25,A
4,# _ # _,15 13 12 11 17 13 12 13 14 25,E
5,# _ # _,15 12 12 10 18 13 11 13 13 25,A
6,# _ # _,15 11 11 10 18 14 10 13 14 25,E
7,# _ # _,15 10 10 10 18 15 9 13 13 25,A
8,# _ # _,16 10 9 10 18 16 9 14 14 25,E
9,# _ # _,17 10 9 9 18 17 9 15 13 25,A
10,# _ # _,18 10 9 8 18 18 9 16 14 25,E
11,# _ # _,18 9 9 7 18 19 9 17 13 25,A
12,# _ # _,18 8 8 7 18 20 9 18 14 25,E
13,# _ # _,18 7 7 7 18 21 9 19 13 25,A
14,# _ # _,19 7 6 7 18 22 9 20 14 25,E
15,# _ # _,20 7 6 6 19 22 9 21 13 25,A
16,# _ # _,21 7 6 5 20 22 9 22 14 25,E
17,# _ # _,21 6 6 4 21 22 8 22 13 25,A
18,# _ # _,21 5 6 3 21 23 7 22 14 25,E
19,# _ # _,21 4 5 3 21 24 6 22 13 25,A
20,# _ # _,21 3 4 3 21 25 6 23 14 25,E
21,# _ # _,22 3 3 3 21 26 6 24 13 25,A
22,# _ # _,23 3 2 3 21 27 6 25 14 25,E
23,# _ # _,24 3 1 3 21 28 7 25 13 25,A
24,# _ # _,25 3 1 4 22 28 8 25 14 25,E
25,# _ # _,26 3 1 5 23 28 9 25 13 25,A
26,# _ # _,26 4 1 6 24 28 9 26 14 25,E
27,# _ # _,26 5 1 7 24 27 9 27 13 25,A
28,# _ # _,26 6 1 8 24 26 9 28 14 25,E
29,# _ # _,26 7 1 9 24 25 10 28 13 25,A
30,# _ # _,26 8 1 10 25 25 11 28 14 25,E
31,# _ # _,26 9 2 10 26 25 12 28 13 25,A
32,# _ # _,26 10 3 10 26 24 12 29 14 25,E
33,# _ # _,25 10 4 10 26 23 12 30 13 25,A
34,# _ # _,24 10 5 10 26 22 12 31 14 25,E
35,# _ # _,23 10 6 10 25 22 11 31 13 25,A
36,# _ # _,22 10 6 9 24 22 10 31 14 25,E
37,# _ # _,21 10 6 8 23 22 9 31 13 25,A
38,# _ # _,21 9 6 7 22 22 8 31 14 25,E
39,# _ # _,21 8 6 6 21 22 7 31 13 25,A
40,# _ # _,21 7 6 5 21 23 6 31 14 25,E
41,# _ # _,21 6 6 4 21 24 5 31 13 25,A
42,# _ # _,21 5 6 3 21 25 4 31 14 25,E
43,# _ # _,21 4 5 3 21 26 3 31 13 25,A
44,# _ # _,21 3 4 3 21 27 2 31 14 25,E
45,# _ # _,22 3 3 3 21 28 1 31 13 25,A
46,# _ # _,23 3 2 3 22 28 1 30 14 25,E
47,# _ # _,24 3 1 3 23 28 1 29 13 25,A
48,# _ # _,25 3 1 4 24 28 1 28 14 25,E
49,# _ # _,26 3 1 5 25 28 2 28 13 25,A
50,# _ # _,26 4 1 6 26 28 3 28 14 25,E
51,# _ # _,26 5 1 7 26 29 4 28 13 25,A
52,# _ # _,26 6 2 7 26 30 5 28 14 25,E
53,# _ # _,26 7 3 7 26 31 6 28 13 25,A
54,# _ # _,26 8 4 7 25 31 6 27 14 25,E
55,# _ # _,26 9 5 7 24 31 6 26 13 25,A
56,# _ # _,26 10 6 7 23 31 6 25 14 25,E
57,# _ # _,25 10 6 8 22 31 7 25 13 25,A
58,# _ # _,24 10 6 9 21 31 8 25 14 25,E
59,# _ # _,23 10 6 10 20 31 9 25 13 25,A
60,# _ # _,22 10 6 11 19 31 9 26 14 25,E
61,# _ # _,21 10 6 12 18 31 9 27 13 25,A
62,# _ # _,21 11 6 13 17 31 9 28 14 25,E
63,# _ # _,21 12 6 14 16 31 10 28 13 25,A
64,# _ # _,21 13 6 15 15 31 11 28 14 25,E
65,# _ # _,21 14 6 16 15 30 12 28 13 25,A
66,# _ # _,21 15 6 17 15 29 12 29 14 25,E
67,# _ # _,21 16 6 18 15 28 12 30 13 25,A
